transit_timestamp,station_complex_id,station_complex,borough,ridership,transfers,latitude,longitude,hour,day_of_week,month,is_weekend,congestion_level
2024-09-01 16:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,543.0,2,40.725914,-73.99466,16,6,9,1,Medium
2024-09-01 17:00:00,16,"8 St-NYU (R,W)",Manhattan,616.0,6,40.730328,-73.99263,17,6,9,1,Medium
2024-09-01 17:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,447.0,1,40.732338,-74.000496,17,6,9,1,Medium
2024-09-01 17:00:00,407,Astor Pl (6),Manhattan,578.0,9,40.730053,-73.99107,17,6,9,1,Medium
2024-09-01 17:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,615.0,1,40.725914,-73.99466,17,6,9,1,Medium
2024-09-01 18:00:00,16,"8 St-NYU (R,W)",Manhattan,644.0,4,40.730328,-73.99263,18,6,9,1,Medium
2024-09-01 18:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,354.0,1,40.732338,-74.000496,18,6,9,1,Medium
2024-09-01 18:00:00,407,Astor Pl (6),Manhattan,609.0,5,40.730053,-73.99107,18,6,9,1,Medium
2024-09-01 18:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,569.0,0,40.725914,-73.99466,18,6,9,1,Medium
2024-09-01 19:00:00,16,"8 St-NYU (R,W)",Manhattan,649.0,0,40.730328,-73.99263,19,6,9,1,Medium
2024-09-01 19:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,426.0,2,40.732338,-74.000496,19,6,9,1,Medium
2024-09-01 19:00:00,407,Astor Pl (6),Manhattan,489.0,1,40.730053,-73.99107,19,6,9,1,Medium
2024-09-01 19:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,457.0,1,40.725914,-73.99466,19,6,9,1,Medium
2024-09-01 20:00:00,16,"8 St-NYU (R,W)",Manhattan,593.0,0,40.730328,-73.99263,20,6,9,1,Medium
2024-09-01 20:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,345.0,0,40.732338,-74.000496,20,6,9,1,Medium
2024-09-01 20:00:00,407,Astor Pl (6),Manhattan,447.0,0,40.730053,-73.99107,20,6,9,1,Medium
2024-09-01 20:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,311.0,0,40.725914,-73.99466,20,6,9,1,Medium
2024-09-01 21:00:00,16,"8 St-NYU (R,W)",Manhattan,513.0,2,40.730328,-73.99263,21,6,9,1,Medium
